keyword,대분류,중분류,소분류,세분류,세세분류,Feature,synonyms,hyperonym,타사전추가여부,coupang_link
맥주안주,TPO,TPO,상황,,,,,,,
매일,TPO,TPO,상황,,,,,,,
데이트,TPO,TPO,상황,,,,,,,
단식,TPO,TPO,상황,,,,,,,
공복,TPO,TPO,상황,,,,,,,
가족모임,TPO,TPO,상황,,,,,,,
가족,TPO,TPO,상황,,,,,,,
소풍도시락,TPO,TPO,상황,,,,,,,
간식,TPO,TPO,상황,,,,,,,
술안주,TPO,TPO,상황,,,,,,,
미세먼지,TPO,TPO,상황,,,,,,,
캠핑,TPO,TPO,상황,,,,,,,
이색,TPO,TPO,상황,,,,,,,
밥반찬,TPO,TPO,상황,,,,,,,
반찬거리,TPO,TPO,상황,,,,,,,
추억,TPO,TPO,상황,,,,,,,
귀차니즘,TPO,TPO,상황,,,,,,,
유치원,TPO,TPO,상황,,,,,,,
잔칫상,TPO,TPO,상황,,,,,,,
피크닉,TPO,TPO,상황,,,,,,,
난이도하,TPO,TPO,상황,,,,,,,
심플한,TPO,TPO,상황,,,,,,,
봄,TPO,TPO,시간,,,,,,,
여름,TPO,TPO,시간,,,,,,,
휴일,TPO,TPO,시간,,,,,,,
화요일,TPO,TPO,시간,,,,,,,
평일,TPO,TPO,시간,,,,,,,
퇴근,TPO,TPO,시간,,,,,,,
크리스마스,TPO,TPO,시간,,,,,,,
추석,TPO,TPO,시간,,,,,,,
초여름,TPO,TPO,시간,,,,,,,
중식,TPO,TPO,시간,,,,,,,
주말,TPO,TPO,시간,,,,,,,
조식,TPO,TPO,시간,,,,,,,
제철,TPO,TPO,시간,,,,,,,
점심,TPO,TPO,시간,,,,,,,
저녁,TPO,TPO,시간,,,,,,,
장마,TPO,TPO,시간,,,,,,,
요맘때,TPO,TPO,시간,,,,,,,
오후,TPO,TPO,시간,,,,,,,
오전,TPO,TPO,시간,,,,,,,
연휴,TPO,TPO,시간,,,,,,,
연말,TPO,TPO,시간,,,,,,,
어릴적,TPO,TPO,시간,,,,,,,
어릴때,TPO,TPO,시간,,,,,,,
야식,TPO,TPO,시간,,,,,,,
야간,TPO,TPO,시간,,,,,,,
아침,TPO,TPO,시간,,,,,,,
시간,TPO,TPO,시간,,,,,,,
스승의날,TPO,TPO,시간,,,,,,,
수요일,TPO,TPO,시간,,,,,,,
설날,TPO,TPO,시간,,,,,,,
생일,TPO,TPO,시간,,,,,,,
새해,TPO,TPO,시간,,,,,,,
새벽,TPO,TPO,시간,,,,,,,
봄시즌,TPO,TPO,시간,,,,,,,
방학,TPO,TPO,시간,,,,,,,
목요일,TPO,TPO,시간,,,,,,,
동안,TPO,TPO,시간,,,,,,,
계절마다,TPO,TPO,시간,,,,,,,
계절,TPO,TPO,시간,,,,,,,
겨울,TPO,TPO,시간,,,,,,,
가을,TPO,TPO,시간,,,,,,,
모닝,TPO,TPO,시간,,,,,,,
봄철,TPO,TPO,시간,,,,,,,
가을철,TPO,TPO,시간,,,,,,,
여름철,TPO,TPO,시간,,,,,,,
겨울철,TPO,TPO,시간,,,,,,,
운동전,TPO,TPO,시간,,,,,,,
운동후,TPO,TPO,시간,,,,,,,
명절,TPO,TPO,시간,,,,,,,
봄날,TPO,TPO,시간,,,,,,,
환절기,TPO,TPO,시간,,,,,,,
초복,TPO,TPO,시간,,,,,,,
중복,TPO,TPO,시간,,,,,,,
말복,TPO,TPO,시간,,,,,,,
회사,TPO,TPO,장소,,,,,,,
포차,TPO,TPO,장소,,,,,,,
찜질방,TPO,TPO,장소,,,,,,,
외출,TPO,TPO,장소,,,,,,,
여행,TPO,TPO,장소,,,,,,,
소풍,TPO,TPO,장소,,,,,,,
도시락,TPO,TPO,장소,,,,,,,
조각,단위,단위,수량/단위,,,,,,,
알,단위,단위,수량/단위,,,,,,,
한판,단위,단위,수량/단위,,,,,,,
한장,단위,단위,수량/단위,,,,,,,
포기,단위,단위,수량/단위,,,,,,,
팩,단위,단위,수량/단위,,,,,,,
티스푼,단위,단위,수량/단위,,,,,,,
통,단위,단위,수량/단위,,,,,,,
톨,단위,단위,수량/단위,,,,,,,
테이블스푼,단위,단위,수량/단위,,,,,,,
킬로그램,단위,단위,수량/단위,,,,,,,
키로그램,단위,단위,수량/단위,,,,,,,
큰술,단위,단위,수량/단위,,,,,,,
큐브,단위,단위,수량/단위,,,,,,,
컵과,단위,단위,수량/단위,,,,,,,
컵,단위,단위,수량/단위,,,,,,,
커피스푼,단위,단위,수량/단위,,,,,,,
캔,단위,단위,수량/단위,,,,,,,
찻스푼,단위,단위,수량/단위,,,,,,,
찻숟가락,단위,단위,수량/단위,,,,,,,
쪽,단위,단위,수량/단위,,,,,,,
줌,단위,단위,수량/단위,,,,,,,
줄기,단위,단위,수량/단위,,,,,,,
줄,단위,단위,수량/단위,,,,,,,
주먹,단위,단위,수량/단위,,,,,,,
종이컵,단위,단위,수량/단위,,,,,,,
정도,단위,단위,수량/단위,,,,,,,
절반,단위,단위,수량/단위,,,,,,,
적당량,단위,단위,수량/단위,,,,,,,
장,단위,단위,수량/단위,,,,,,,
자밤,단위,단위,수량/단위,,,,,,,
인분,단위,단위,수량/단위,,,,,,,
약간,단위,단위,수량/단위,,,,,,,
스틱,단위,단위,수량/단위,,,,,,,
술,단위,단위,수량/단위,,,,,,,
숟갈,단위,단위,수량/단위,,,,,,,
숟가락,단위,단위,수량/단위,,,,,,,
수저,단위,단위,수량/단위,,,,,,,
소량,단위,단위,수량/단위,,,,,,,
소금비율,단위,단위,수량/단위,,,,,,,
뿌리,단위,단위,수량/단위,,,,,,,
블록,단위,단위,수량/단위,,,,,,,
분량,단위,단위,수량/단위,,,,,,,
봉지,단위,단위,수량/단위,,,,,,,
봉,단위,단위,수량/단위,,,,,,,
방울,단위,단위,수량/단위,,,,,,,
밥스푼,단위,단위,수량/단위,,,,,,,
밥숟갈,단위,단위,수량/단위,,,,,,,
밥숟가락,단위,단위,수량/단위,,,,,,,
밥수저,단위,단위,수량/단위,,,,,,,
박스,단위,단위,수량/단위,,,,,,,
묶음,단위,단위,수량/단위,,,,,,,
모,단위,단위,수량/단위,,,,,,,
마리,단위,단위,수량/단위,,,,,,,
리터,단위,단위,수량/단위,,,,,,,
덩이,단위,단위,수량/단위,,,,,,,
단,단위,단위,수량/단위,,,,,,,
다량,단위,단위,수량/단위,,,,,,,
근,단위,단위,수량/단위,,,,,,,
그릇,단위,단위,수량/단위,,,,,,,
그램,단위,단위,수량/단위,,,,,,,
그람,단위,단위,수량/단위,,,,,,,
공기,단위,단위,수량/단위,,,,,,,
계량단위,단위,단위,수량/단위,,,,,,,
계량기준,단위,단위,수량/단위,,,,,,,
계랑스푼,단위,단위,수량/단위,,,,,,,
개분량,단위,단위,수량/단위,,,,,,,
가량,단위,단위,수량/단위,,,,,,,
가닥,단위,단위,수량/단위,,,,,,,
T스푼,단위,단위,수량/단위,,,,,,,
tsp,단위,단위,수량/단위,,,,,,,
Ts,단위,단위,수량/단위,,,,,,,
teaspoon,단위,단위,수량/단위,,,,,,,
Tbsp,단위,단위,수량/단위,,,,,,,
Tbs,단위,단위,수량/단위,,,,,,,
tablespoon,단위,단위,수량/단위,,,,,,,
slice,단위,단위,수량/단위,,,,,,,
Piece,단위,단위,수량/단위,,,,,,,
ml,단위,단위,수량/단위,,,,,,,
L,단위,단위,수량/단위,,,,,,,
kg,단위,단위,수량/단위,,,,,,,
half,단위,단위,수량/단위,,,,,,,
gram,단위,단위,수량/단위,,,,,,,
g,단위,단위,수량/단위,,,,,,,
cube,단위,단위,수량/단위,,,,,,,
cm,단위,단위,수량/단위,,,,,,,
bottle,단위,단위,수량/단위,,,,,,,
작은술,단위,단위,수량/단위,,,,,,,
듬뿍,단위,단위,수량/단위,,,,,,,
넉넉하게,단위,단위,수량/단위,,,,,,,
계량스푼,단위,단위,수량/단위,,,,,,,
슬라이스,단위,단위,수량/단위,,,,,,,
꼬집,단위,단위,수량/단위,,,,,,,
적게,단위,단위,수량/단위,,,,,,,
약간씩,단위,단위,수량/단위,,,,,,,
넉넉히,단위,단위,수량/단위,,,,,,,
t,단위,단위,수량/단위,,,,,,,
ml컵,단위,단위,수량/단위,,,,,,,
미리,단위,단위,수량/단위,,,,,,,
배라스푼,단위,단위,수량/단위,,,,,,,
스푼,단위,단위,수량/단위,,,,,,,
사이즈,단위,단위,수량/단위,,,,,,,
계량컵,단위,단위,수량/단위,,,,,,,
단위,단위,단위,수량/단위,,,,,,,
조금,단위,단위,수량/단위,,,,,,,
용기,단위,단위,수량/단위,,,,,,,
반개,단위,단위,수량/단위,,,,,,,
나머지,단위,단위,수량/단위,,,,,,,
토막,단위,단위,수량/단위,,,,,,,
한줌,단위,단위,수량/단위,,,,,,,
접시,단위,단위,수량/단위,,,,,,,
등분,단위,단위,수량/단위,,,,,,,
더미,단위,단위,수량/단위,,,,,,,
덩어리,단위,단위,수량/단위,,,,,,,
일부,단위,단위,수량/단위,,,,,,,
대용량,단위,단위,수량/단위,,,,,,,
자투리,단위,단위,수량/단위,,,,,,,
용량,단위,단위,수량/단위,,,,,,,
왕창,단위,단위,수량/단위,,,,,,,
센치,단위,단위,수량/단위,,,,,,,
사발,단위,단위,수량/단위,,,,,,,
인치,단위,단위,수량/단위,,,,,,,
일정량,단위,단위,수량/단위,,,,,,,
한줄기,단위,단위,수량/단위,,,,,,,
소쿠리,단위,단위,수량/단위,,,,,,,
마구마구,단위,단위,수량/단위,,,,,,,
대량,단위,단위,수량/단위,,,,,,,
cup,단위,단위,수량/단위,,,,,,,
두께,단위,단위,수량/단위,,,,,,,
굵기,단위,단위,수량/단위,,,,,,,
한잔,단위,단위,수량/단위,,,,,,,
마늘향,맛/식감/질감,맛/식감/질감,맛,,,,,,,
향긋,맛/식감/질감,맛/식감/질감,맛,,,,,,,
풍미,맛/식감/질감,맛/식감/질감,맛,,,,,,,
톡쏘는,맛/식감/질감,맛/식감/질감,맛,,,,,,,
텁텁,맛/식감/질감,맛/식감/질감,맛,,,,,,,
커피향,맛/식감/질감,맛/식감/질감,맛,,,,,,,
치즈맛도,맛/식감/질감,맛/식감/질감,맛,,,,,,,
짭쪼롬,맛/식감/질감,맛/식감/질감,맛,,,,,,,
짠맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
자극적,맛/식감/질감,맛/식감/질감,맛,,,,,,,
이국적,맛/식감/질감,맛/식감/질감,맛,,,,,,,
얼큰하고,맛/식감/질감,맛/식감/질감,맛,,,,,,,
얼큰,맛/식감/질감,맛/식감/질감,맛,,,,,,,
아린,맛/식감/질감,맛/식감/질감,맛,,,,,,,
쓴맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
심심,맛/식감/질감,맛/식감/질감,맛,,,,,,,
신맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
슴슴,맛/식감/질감,맛/식감/질감,맛,,,,,,,
순한맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
숙성된,맛/식감/질감,맛/식감/질감,맛,,,,,,,
새콤달콤,맛/식감/질감,맛/식감/질감,맛,,,,,,,
새콤,맛/식감/질감,맛/식감/질감,맛,,,,,,,
산뜻한,맛/식감/질감,맛/식감/질감,맛,,,,,,,
비린내,맛/식감/질감,맛/식감/질감,맛,,,,,,,
불향,맛/식감/질감,맛/식감/질감,맛,,,,,,,
불맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
밍밍한,맛/식감/질감,맛/식감/질감,맛,,,,,,,
매콤달콤,맛/식감/질감,맛/식감/질감,맛,,,,,,,
매콤,맛/식감/질감,맛/식감/질감,맛,,,,,,,
매운맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
매운,맛/식감/질감,맛/식감/질감,맛,,,,,,,
딸기맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
든든한,맛/식감/질감,맛/식감/질감,맛,,,,,,,
담백,맛/식감/질감,맛/식감/질감,맛,,,,,,,
달큰하고,맛/식감/질감,맛/식감/질감,맛,,,,,,,
달콤하고,맛/식감/질감,맛/식감/질감,맛,,,,,,,
달달,맛/식감/질감,맛/식감/질감,맛,,,,,,,
단짠,맛/식감/질감,맛/식감/질감,맛,,,,,,,
단맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
느끼,맛/식감/질감,맛/식감/질감,맛,,,,,,,
노릇,맛/식감/질감,맛/식감/질감,맛,,,,,,,
꿀맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
개운,맛/식감/질감,맛/식감/질감,맛,,,,,,,
감칠맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
바닐라맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
사골맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
초콜릿맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
멸치맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
레몬향,맛/식감/질감,맛/식감/질감,맛,,,,,,,
조개맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
고소,맛/식감/질감,맛/식감/질감,맛,,,,,,,
시큼,맛/식감/질감,맛/식감/질감,맛,,,,,,,
고소함,맛/식감/질감,맛/식감/질감,맛,,,,,,,
구수,맛/식감/질감,맛/식감/질감,맛,,,,,,,
매콤하니,맛/식감/질감,맛/식감/질감,맛,,,,,,,
뒷맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
떫은맛,맛/식감/질감,맛/식감/질감,맛,,,,,,,
칼칼함이,맛/식감/질감,맛/식감/질감,식감,,,,,,,
연한,맛/식감/질감,맛/식감/질감,식감,,,,,,,
시원,맛/식감/질감,맛/식감/질감,식감,,,,,,,
배부른,맛/식감/질감,맛/식감/질감,식감,,,,,,,
맑은,맛/식감/질감,맛/식감/질감,식감,,,,,,,
뜨끈한,맛/식감/질감,맛/식감/질감,식감,,,,,,,
따뜻하고,맛/식감/질감,맛/식감/질감,식감,,,,,,,
나른한,맛/식감/질감,맛/식감/질감,식감,,,,,,,
깔끔하면서,맛/식감/질감,맛/식감/질감,식감,,,,,,,
깔끔하고,맛/식감/질감,맛/식감/질감,식감,,,,,,,
구수하고,맛/식감/질감,맛/식감/질감,식감,,,,,,,
고소해요,맛/식감/질감,맛/식감/질감,식감,,,,,,,
고소하니,맛/식감/질감,맛/식감/질감,식감,,,,,,,
고급스런,맛/식감/질감,맛/식감/질감,식감,,,,,,,
가벼운,맛/식감/질감,맛/식감/질감,식감,,,,,,,
아삭아삭,맛/식감/질감,맛/식감/질감,식감,,,,,,,
아작아작,맛/식감/질감,맛/식감/질감,식감,,,,,,,
쫄깃하니,맛/식감/질감,맛/식감/질감,식감,,,,,,,
사각,맛/식감/질감,맛/식감/질감,식감,,,,,,,
푹신,맛/식감/질감,맛/식감/질감,질감,,,,,,,
푸딩처럼,맛/식감/질감,맛/식감/질감,질감,,,,,,,
폭신폭신,맛/식감/질감,맛/식감/질감,질감,,,,,,,
포실포실한,맛/식감/질감,맛/식감/질감,질감,,,,,,,
포슬포슬,맛/식감/질감,맛/식감/질감,질감,,,,,,,
포근,맛/식감/질감,맛/식감/질감,질감,,,,,,,
퍽퍽,맛/식감/질감,맛/식감/질감,질감,,,,,,,
파사삭,맛/식감/질감,맛/식감/질감,질감,,,,,,,
통통,맛/식감/질감,맛/식감/질감,질감,,,,,,,
탱탱,맛/식감/질감,맛/식감/질감,질감,,,,,,,
탱글,맛/식감/질감,맛/식감/질감,질감,,,,,,,
크리스피,맛/식감/질감,맛/식감/질감,질감,,,,,,,
크리미,맛/식감/질감,맛/식감/질감,질감,,,,,,,
촉촉,맛/식감/질감,맛/식감/질감,질감,,,,,,,
찰진,맛/식감/질감,맛/식감/질감,질감,,,,,,,
쫄깃,맛/식감/질감,맛/식감/질감,질감,,,,,,,
쫀쫀,맛/식감/질감,맛/식감/질감,질감,,,,,,,
쫀득,맛/식감/질감,맛/식감/질감,질감,,,,,,,
질긴,맛/식감/질감,맛/식감/질감,질감,,,,,,,
질겨서,맛/식감/질감,맛/식감/질감,질감,,,,,,,
오독오독,맛/식감/질감,맛/식감/질감,질감,,,,,,,
오도독,맛/식감/질감,맛/식감/질감,질감,,,,,,,
아삭,맛/식감/질감,맛/식감/질감,질감,,,,,,,
사르르,맛/식감/질감,맛/식감/질감,질감,,,,,,,
뻣뻣한,맛/식감/질감,맛/식감/질감,질감,,,,,,,
빵빵한,맛/식감/질감,맛/식감/질감,질감,,,,,,,
부들부들,맛/식감/질감,맛/식감/질감,질감,,,,,,,
부드러운,맛/식감/질감,맛/식감/질감,질감,,,,,,,
보들,맛/식감/질감,맛/식감/질감,질감,,,,,,,
보드랍고,맛/식감/질감,맛/식감/질감,질감,,,,,,,
바삭,맛/식감/질감,맛/식감/질감,질감,,,,,,,
바사삭,맛/식감/질감,맛/식감/질감,질감,,,,,,,
묽어짐,맛/식감/질감,맛/식감/질감,질감,,,,,,,
물러지고,맛/식감/질감,맛/식감/질감,질감,,,,,,,
무르거나,맛/식감/질감,맛/식감/질감,질감,,,,,,,
몰캉,맛/식감/질감,맛/식감/질감,질감,,,,,,,
말랑,맛/식감/질감,맛/식감/질감,질감,,,,,,,
딱딱하니,맛/식감/질감,맛/식감/질감,질감,,,,,,,
단단하고,맛/식감/질감,맛/식감/질감,질감,,,,,,,
나박나박,맛/식감/질감,맛/식감/질감,질감,,,,,,,
꾸덕,맛/식감/질감,맛/식감/질감,질감,,,,,,,
꼬들,맛/식감/질감,맛/식감/질감,질감,,,,,,,
고슬고슬,맛/식감/질감,맛/식감/질감,질감,,,,,,,
겉바속촉,맛/식감/질감,맛/식감/질감,질감,,,,,,,
걸쭉,맛/식감/질감,맛/식감/질감,질감,,,,,,,
거친,맛/식감/질감,맛/식감/질감,질감,,,,,,,
촉촉한,맛/식감/질감,맛/식감/질감,질감,,,,,,,
쫄깃한,맛/식감/질감,맛/식감/질감,질감,,,,,,,
바삭바삭,맛/식감/질감,맛/식감/질감,질감,,,,,,,
피자,요리이름,요리명,요리명,,,,,,,
푸딩,요리이름,요리명,요리명,,,,,,,
카레,요리이름,요리명,요리명,,,,,,,
청국장,요리이름,요리명,요리명,,,,,,,
김치,요리이름,요리명,요리명,,,,,,,
감자칩,요리이름,요리명,요리명,,,,,,,
옥수수빵,요리이름,요리명,요리명,,,,,,,
족발,요리이름,요리명,요리명,,,,,,,
비빔면,요리이름,요리명,요리명,,,,,,,
게장,요리이름,요리명,요리명,,,,,,,
초콜릿케이크,요리이름,요리명,요리명,,,,,,,
카프레제,요리이름,요리명,요리명,,,,,,,
호박전,요리이름,요리명,요리명,,,,,,,
햄버거,요리이름,요리명,요리명,,,,,,,
해장국,요리이름,요리명,요리명,,,,,,,
프렌치 토스트,요리이름,요리명,요리명,,,,,,,
파전,요리이름,요리명,요리명,,,,,,,
파스타,요리이름,요리명,요리명,,,,,,,
티라미수,요리이름,요리명,요리명,,,,,,,
토스트,요리이름,요리명,요리명,,,,,,,
토마토달걀볶음,요리이름,요리명,요리명,,,,"토마토계란볶음, 토달볶",,,
탕수육,요리이름,요리명,요리명,,,,,,,
콩나물무침,요리이름,요리명,요리명,,,,,,,
콩나물국,요리이름,요리명,요리명,,,,,,,
칼국수,요리이름,요리명,요리명,,,,,,,
초밥,요리이름,요리명,요리명,,,,,,,
청국장찌개,요리이름,요리명,요리명,,,,,,,
찹스테이크,요리이름,요리명,요리명,,,,,,,
참치샌드위치,요리이름,요리명,요리명,,,,,,,
참치김밥,요리이름,요리명,요리명,,,,,,,
찜닭,요리이름,요리명,요리명,,,,,,,
쪽파김치,요리이름,요리명,요리명,,,,,,,
짜장면,요리이름,요리명,요리명,,,,,,,
진미채볶음,요리이름,요리명,요리명,,,,,,,
주먹밥,요리이름,요리명,요리명,,,,,,,
제육볶음,요리이름,요리명,요리명,,,,,,,
전복죽,요리이름,요리명,요리명,,,,,,,
장조림,요리이름,요리명,요리명,,,,,,,
잡채,요리이름,요리명,요리명,,,,,,,
잔치국수,요리이름,요리명,요리명,,,,,,,
육전,요리이름,요리명,요리명,,,,,,,
육개장,요리이름,요리명,요리명,,,,,,,
월남쌈,요리이름,요리명,요리명,,,,,,,
우엉조림,요리이름,요리명,요리명,,,,,,,
오징어볶음,요리이름,요리명,요리명,,,,,,,
오징어무국,요리이름,요리명,요리명,,,,,,,
오이지무침,요리이름,요리명,요리명,,,,,,,
오이무침,요리이름,요리명,요리명,,,,,,,
오믈렛,요리이름,요리명,요리명,,,,,,,
오므라이스,요리이름,요리명,요리명,,,,,,,
열무물김치,요리이름,요리명,요리명,,,,,,,
연근조림,요리이름,요리명,요리명,,,,,,,
에그샌드위치,요리이름,요리명,요리명,,,,,,,
양파장아찌,요리이름,요리명,요리명,,,,,,,
약밥,요리이름,요리명,요리명,,,,,,,
안동찜닭,요리이름,요리명,요리명,,,,,,,
쌀국수,요리이름,요리명,요리명,,,,,,,
스튜,요리이름,요리명,요리명,,,,,,,
스크램블,요리이름,요리명,요리명,,,,,,,
순두부찌개,요리이름,요리명,요리명,,,,,,,
수육,요리이름,요리명,요리명,,,,,,,
소불고기,요리이름,요리명,요리명,,,,,,,
소고기미역국,요리이름,요리명,요리명,,,,,,,
소고기뭇국,요리이름,요리명,요리명,,,,,,,
설렁탕,요리이름,요리명,요리명,,,,,,,
샤브샤브,요리이름,요리명,요리명,,,,,,,
샐러드,요리이름,요리명,요리명,,,,,,,
삼계탕,요리이름,요리명,요리명,,,,,,,
삶은계란,요리이름,요리명,요리명,,,,,,,
비빔밥,요리이름,요리명,요리명,,,,,,,
비빔국수,요리이름,요리명,요리명,,,,,,,
불고기,요리이름,요리명,요리명,,,,,,,
북어국,요리이름,요리명,요리명,,,,,,,
부침개,요리이름,요리명,요리명,,,,,,,
부추전,요리이름,요리명,요리명,,,,,,,
부추김치,요리이름,요리명,요리명,,,,,,,
부대찌개,요리이름,요리명,요리명,,,,,,,
볶음밥,요리이름,요리명,요리명,,,,,,,
볶음김치,요리이름,요리명,요리명,,,,,,,
보쌈,요리이름,요리명,요리명,,,,,,,
백숙,요리이름,요리명,요리명,,,,,,,
밥버거,요리이름,요리명,요리명,,,,,,,
미역줄기볶음,요리이름,요리명,요리명,,,,,,,
무생채,요리이름,요리명,요리명,,,,,,,
무국,요리이름,요리명,요리명,,,,,,,
멸치볶음,요리이름,요리명,요리명,,,,,,,
메밀국수,요리이름,요리명,요리명,,,,,,,
막국수,요리이름,요리명,요리명,,,,,,,
마파두부,요리이름,요리명,요리명,,,,,,,
떡볶이,요리이름,요리명,요리명,,,,,,,
떡국,요리이름,요리명,요리명,,,,,,,
딤섬,요리이름,요리명,요리명,,,,,,,
두부찌개,요리이름,요리명,요리명,,,,,,,
두부조림,요리이름,요리명,요리명,,,,,,,
된장찌개,요리이름,요리명,요리명,,,,,,,
돼지불고기,요리이름,요리명,요리명,,,,,,,
동치미,요리이름,요리명,요리명,,,,,,,
돈가스,요리이름,요리명,요리명,,,,,,,
덮밥,요리이름,요리명,요리명,,,,,,,
당근라페,요리이름,요리명,요리명,,,,,,,
닭볶음탕,요리이름,요리명,요리명,,,,,,,
닭꼬치,요리이름,요리명,요리명,,,,,,,
닭강정,요리이름,요리명,요리명,,,,,,,
냉면,요리이름,요리명,요리명,,,,,,,
나박김치,요리이름,요리명,요리명,,,,,,,
꽃게탕,요리이름,요리명,요리명,,,,,,,
꼬마김밥,요리이름,요리명,요리명,,,,,,,
깻잎무침,요리이름,요리명,요리명,,,,,,,
깻잎김치,요리이름,요리명,요리명,,,,,,,
깐풍기,요리이름,요리명,요리명,,,,,,,
김치찌개,요리이름,요리명,요리명,,,,,,,
김치전,요리이름,요리명,요리명,,,,,,,
김치볶음밥,요리이름,요리명,요리명,,,,,,,
김밥,요리이름,요리명,요리명,,,,,,,
군만두,요리이름,요리명,요리명,,,,,,,
곰탕,요리이름,요리명,요리명,,,,,,,
골뱅이무침,요리이름,요리명,요리명,,,,,,,
고추장찌개,요리이름,요리명,요리명,,,,,,,
고추장불고기,요리이름,요리명,요리명,,,,,,,
고로케,요리이름,요리명,요리명,,,,,,,
고기완자,요리이름,요리명,요리명,,,,,,,
계란찜,요리이름,요리명,요리명,,,,,,,
계란볶음,요리이름,요리명,요리명,,,,,,,
감자튀김,요리이름,요리명,요리명,,,,,,,
감자조림,요리이름,요리명,요리명,,,,,,,
감자볶음,요리이름,요리명,요리명,,,,,,,
감자만두,요리이름,요리명,요리명,,,,,,,
감자 샐러드,요리이름,요리명,요리명,,,,,,,
감바스,요리이름,요리명,요리명,,,,,,,
갈비탕,요리이름,요리명,요리명,,,,,,,
갈비찜,요리이름,요리명,요리명,,,,,,,
간장찜닭,요리이름,요리명,요리명,,,,,,,
간장어묵볶음,요리이름,요리명,요리명,,,,,,,
간장불고기,요리이름,요리명,요리명,,,,,,,
간장닭볶음탕,요리이름,요리명,요리명,,,,,,,
간장국수,요리이름,요리명,요리명,,,,,,,
간장계란밥,요리이름,요리명,요리명,,,,,,,
초콜릿 케이크,요리이름,요리명,요리명,,,,,,,
초코쿠키,요리이름,요리명,요리명,,,,,,,
초코케이크,요리이름,요리명,요리명,,,,,,,
초코컵케이크,요리이름,요리명,요리명,,,,,,,
초코아이스크림,요리이름,요리명,요리명,,,,,,,
후토마끼,요리이름,요리명,요리명,,,,,,,
후라이드치킨,요리이름,요리명,요리명,,,,,,,
황태미역국,요리이름,요리명,요리명,,,,,,,
황태국,요리이름,요리명,요리명,,,,,,,
홈메이드,요리이름,요리명,요리명,,,,,,,
호떡,요리이름,요리명,요리명,,,,,,,
호두식빵,요리이름,요리명,요리명,,,,,,,
햇마늘장아찌,요리이름,요리명,요리명,,,,,,,
햄치즈토스트,요리이름,요리명,요리명,,,,,,,
